mdx_path	image_url	error
test-cloud\automation-cloud\latest\workspace\accessing-the-platform.md	https://docs-dev.uipath.com/api/binary/test-cloud/2/636657/332336	404 Client Error: Not Found for url: https://docs-dev.uipath.com/api/binary/test-cloud/2/636657/332336
test-cloud\automation-cloud\latest\workspace\accessing-the-platform.md	https://docs-dev.uipath.com/api/binary/test-cloud/2/636657/510055	404 Client Error: Not Found for url: https://docs-dev.uipath.com/api/binary/test-cloud/2/636657/510055
test-cloud\automation-cloud\latest\workspace\accessing-the-platform.md	https://docs-dev.uipath.com/api/binary/test-cloud/2/636657/546369	404 Client Error: Not Found for url: https://docs-dev.uipath.com/api/binary/test-cloud/2/636657/546369
test-cloud\automation-cloud\latest\workspace\allocating-user-licenses.md	https://docs-dev.uipath.com/api/binary/test-cloud/2/636657/30893	404 Client Error: Not Found for url: https://docs-dev.uipath.com/api/binary/test-cloud/2/636657/30893
test-cloud\automation-cloud\latest\workspace\allocating-user-licenses.md	https://docs-dev.uipath.com/api/binary/test-cloud/2/636657/30717	404 Client Error: Not Found for url: https://docs-dev.uipath.com/api/binary/test-cloud/2/636657/30717
test-cloud\automation-cloud\latest\workspace\allocating-user-licenses.md	https://docs-dev.uipath.com/api/binary/test-cloud/2/636657/30865	404 Client Error: Not Found for url: https://docs-dev.uipath.com/api/binary/test-cloud/2/636657/30865
test-cloud\automation-cloud\latest\workspace\allocating-user-licenses.md	https://docs-dev.uipath.com/api/binary/test-cloud/2/636657/30709	404 Client Error: Not Found for url: https://docs-dev.uipath.com/api/binary/test-cloud/2/636657/30709
test-cloud\automation-cloud\latest\workspace\allocating-user-licenses.md	https://docs-dev.uipath.com/api/binary/test-cloud/2/636657/30969	404 Client Error: Not Found for url: https://docs-dev.uipath.com/api/binary/test-cloud/2/636657/30969
test-cloud\automation-cloud\latest\workspace\allocating-user-licenses.md	https://docs-dev.uipath.com/api/binary/test-cloud/2/636657/31627	404 Client Error: Not Found for url: https://docs-dev.uipath.com/api/binary/test-cloud/2/636657/31627
test-cloud\automation-cloud\latest\workspace\allocating-user-licenses.md	https://docs-dev.uipath.com/api/binary/test-cloud/2/636657/30957	404 Client Error: Not Found for url: https://docs-dev.uipath.com/api/binary/test-cloud/2/636657/30957
test-cloud\automation-cloud\latest\workspace\allocating-user-licenses.md	https://docs-dev.uipath.com/api/binary/test-cloud/2/636657/30953	404 Client Error: Not Found for url: https://docs-dev.uipath.com/api/binary/test-cloud/2/636657/30953
test-cloud\automation-cloud\latest\workspace\app-registrations.md	https://docs-dev.uipath.com/api/binary/test-cloud/2/636657/325029	404 Client Error: Not Found for url: https://docs-dev.uipath.com/api/binary/test-cloud/2/636657/325029
test-cloud\automation-cloud\latest\workspace\app-registrations.md	https://docs-dev.uipath.com/api/binary/test-cloud/2/636657/326064	404 Client Error: Not Found for url: https://docs-dev.uipath.com/api/binary/test-cloud/2/636657/326064
test-cloud\automation-cloud\latest\workspace\app-registrations.md	https://docs-dev.uipath.com/api/binary/test-cloud/2/636657/326056	404 Client Error: Not Found for url: https://docs-dev.uipath.com/api/binary/test-cloud/2/636657/326056
test-cloud\automation-cloud\latest\workspace\app-registrations.md	https://docs-dev.uipath.com/api/binary/test-cloud/2/636657/325029	404 Client Error: Not Found for url: https://docs-dev.uipath.com/api/binary/test-cloud/2/636657/325029
test-cloud\automation-cloud\latest\workspace\app-registrations.md	https://docs-dev.uipath.com/api/binary/test-cloud/2/636657/326027	404 Client Error: Not Found for url: https://docs-dev.uipath.com/api/binary/test-cloud/2/636657/326027
test-cloud\automation-cloud\latest\workspace\app-registrations.md	https://docs-dev.uipath.com/api/binary/test-cloud/2/636657/326033	404 Client Error: Not Found for url: https://docs-dev.uipath.com/api/binary/test-cloud/2/636657/326033
test-cloud\automation-cloud\latest\workspace\app-registrations.md	https://docs-dev.uipath.com/api/binary/test-cloud/2/636657/326040	404 Client Error: Not Found for url: https://docs-dev.uipath.com/api/binary/test-cloud/2/636657/326040
test-cloud\automation-cloud\latest\workspace\app-registrations.md	https://docs-dev.uipath.com/api/binary/test-cloud/2/636657/325029	404 Client Error: Not Found for url: https://docs-dev.uipath.com/api/binary/test-cloud/2/636657/325029
test-cloud\automation-cloud\latest\workspace\app-registrations.md	https://docs-dev.uipath.com/api/binary/test-cloud/2/636657/326110	404 Client Error: Not Found for url: https://docs-dev.uipath.com/api/binary/test-cloud/2/636657/326110
test-cloud\automation-cloud\latest\workspace\app-registrations.md	https://docs-dev.uipath.com/api/binary/test-cloud/2/636657/326119	404 Client Error: Not Found for url: https://docs-dev.uipath.com/api/binary/test-cloud/2/636657/326119
test-cloud\automation-cloud\latest\workspace\authentication-models-for-test-cloud-dedicated.md	https://docs-dev.uipath.com/api/binary/test-cloud/2/636657/228466	404 Client Error: Not Found for url: https://docs-dev.uipath.com/api/binary/test-cloud/2/636657/228466
test-cloud\automation-cloud\latest\workspace\authentication-models-for-test-cloud-public-sector.md	https://docs-dev.uipath.com/api/binary/test-cloud/2/636657/31215	404 Client Error: Not Found for url: https://docs-dev.uipath.com/api/binary/test-cloud/2/636657/31215
test-cloud\automation-cloud\latest\workspace\authentication-models-for-test-cloud-public-sector.md	https://docs-dev.uipath.com/api/binary/test-cloud/2/636657/30919	404 Client Error: Not Found for url: https://docs-dev.uipath.com/api/binary/test-cloud/2/636657/30919
test-cloud\automation-cloud\latest\workspace\authentication-models-for-test-cloud.md	https://docs-dev.uipath.com/api/binary/test-cloud/2/636657/390927	404 Client Error: Not Found for url: https://docs-dev.uipath.com/api/binary/test-cloud/2/636657/390927
test-cloud\automation-cloud\latest\workspace\authentication-models-for-test-cloud.md	https://docs-dev.uipath.com/api/binary/test-cloud/2/636657/390963	404 Client Error: Not Found for url: https://docs-dev.uipath.com/api/binary/test-cloud/2/636657/390963
test-cloud\automation-cloud\latest\workspace\authentication-models-for-test-cloud.md	https://docs-dev.uipath.com/api/binary/test-cloud/2/636657/31215	404 Client Error: Not Found for url: https://docs-dev.uipath.com/api/binary/test-cloud/2/636657/31215
test-cloud\automation-cloud\latest\workspace\authentication-models-for-test-cloud.md	https://docs-dev.uipath.com/api/binary/test-cloud/2/636657/30919	404 Client Error: Not Found for url: https://docs-dev.uipath.com/api/binary/test-cloud/2/636657/30919
test-cloud\automation-cloud\latest\workspace\azure-ad-integration.md	https://docs-dev.uipath.com/api/binary/test-cloud/2/636657/30649	404 Client Error: Not Found for url: https://docs-dev.uipath.com/api/binary/test-cloud/2/636657/30649
test-cloud\automation-cloud\latest\workspace\azure-ad-integration.md	https://docs-dev.uipath.com/api/binary/test-cloud/2/636657/30745	404 Client Error: Not Found for url: https://docs-dev.uipath.com/api/binary/test-cloud/2/636657/30745
test-cloud\automation-cloud\latest\workspace\azure-ad-integration.md	https://docs-dev.uipath.com/api/binary/test-cloud/2/636657/30994	404 Client Error: Not Found for url: https://docs-dev.uipath.com/api/binary/test-cloud/2/636657/30994
test-cloud\automation-cloud\latest\workspace\azure-ad-integration.md	https://docs-dev.uipath.com/api/binary/test-cloud/2/636657/316144	404 Client Error: Not Found for url: https://docs-dev.uipath.com/api/binary/test-cloud/2/636657/316144
test-cloud\automation-cloud\latest\workspace\azure-ad-integration.md	https://docs-dev.uipath.com/api/binary/test-cloud/2/636657/30669	404 Client Error: Not Found for url: https://docs-dev.uipath.com/api/binary/test-cloud/2/636657/30669
test-cloud\automation-cloud\latest\workspace\azure-ad-integration.md	https://docs-dev.uipath.com/api/binary/test-cloud/2/636657/495655	404 Client Error: Not Found for url: https://docs-dev.uipath.com/api/binary/test-cloud/2/636657/495655
test-cloud\automation-cloud\latest\workspace\azure-ad-integration.md	https://docs-dev.uipath.com/api/binary/test-cloud/2/636657/31791	404 Client Error: Not Found for url: https://docs-dev.uipath.com/api/binary/test-cloud/2/636657/31791
test-cloud\automation-cloud\latest\workspace\certificates.md	https://docs-dev.uipath.com/api/binary/test-cloud/2/636657/459660	404 Client Error: Not Found for url: https://docs-dev.uipath.com/api/binary/test-cloud/2/636657/459660
test-cloud\automation-cloud\latest\workspace\certificates.md	https://docs-dev.uipath.com/api/binary/test-cloud/2/636657/459743	404 Client Error: Not Found for url: https://docs-dev.uipath.com/api/binary/test-cloud/2/636657/459743
test-cloud\automation-cloud\latest\workspace\changing-the-tenant-region.md	https://docs-dev.uipath.com/api/binary/test-cloud/2/636657/427822	404 Client Error: Not Found for url: https://docs-dev.uipath.com/api/binary/test-cloud/2/636657/427822
test-cloud\automation-cloud\latest\workspace\changing-the-tenant-region.md	https://docs-dev.uipath.com/api/binary/test-cloud/2/636657/428528	404 Client Error: Not Found for url: https://docs-dev.uipath.com/api/binary/test-cloud/2/636657/428528
test-cloud\automation-cloud\latest\workspace\checking-access.md	https://docs-dev.uipath.com/api/binary/test-cloud/2/636657/449555	404 Client Error: Not Found for url: https://docs-dev.uipath.com/api/binary/test-cloud/2/636657/449555
test-cloud\automation-cloud\latest\workspace\checking-access.md	https://docs-dev.uipath.com/api/binary/test-cloud/2/636657/565676	404 Client Error: Not Found for url: https://docs-dev.uipath.com/api/binary/test-cloud/2/636657/565676
test-cloud\automation-cloud\latest\workspace\configuring-access-for-external-apps.md	https://docs-dev.uipath.com/api/binary/test-cloud/2/636657/229789	404 Client Error: Not Found for url: https://docs-dev.uipath.com/api/binary/test-cloud/2/636657/229789
test-cloud\automation-cloud\latest\workspace\configuring-access-for-external-apps.md	https://docs-dev.uipath.com/api/binary/test-cloud/2/636657/232105	404 Client Error: Not Found for url: https://docs-dev.uipath.com/api/binary/test-cloud/2/636657/232105
